E_Scan -1.3405747965200E+03 -4.2820102111640E+02  Phi  -180.0
Coordinate
   -3.642193    -2.422767    -0.501491
   -5.869077    -2.732013     0.095178
   -0.887580     3.362970     0.131907
    1.033562     2.203067     0.099201
    5.298838    -1.489604    -0.072941
   -0.965548     0.998080     0.013274
   -1.368213    -1.851151    -1.159784
   -2.673356    -1.444020    -0.545350
   -4.739931    -1.978914    -0.015532
   -3.030118    -0.233562    -0.053721
   -2.296247     1.035973     0.033574
   -2.979156     2.244832     0.117172
   -2.197504     3.383412     0.153825
   -0.323271     2.152560     0.084599
    2.039168     1.223952     0.027364
    3.355870     1.667360     0.073602
    4.420880     0.791738     0.023125
    4.223993    -0.590076    -0.057547
    6.608462    -0.964143    -0.389580
    5.039377    -2.834046    -0.539627
    2.898757    -1.023154    -0.092566
    1.829371    -0.143586    -0.042786
   -4.723189    -0.307739     0.444525
   -0.815135    -1.006218    -1.534873
   -1.569742    -2.546801    -1.964840
   -0.757125    -2.366837    -0.425077
   -6.521903    -2.489463     0.806502
   -5.713094    -3.711635    -0.008712
    1.360301     3.141534     0.146892
   -4.048275     2.309817     0.112275
   -2.656052     4.356870     0.193689
    3.560904     2.722650     0.140312
    5.408496     1.206325     0.053145
    7.325771    -1.772813    -0.373208
    6.924895    -0.244551     0.355015
    6.653925    -0.485854    -1.369161
    5.960657    -3.399239    -0.515365
    4.644192    -2.865483    -1.555890
    4.339291    -3.340173     0.112920
    2.669274    -2.068420    -0.151801
    0.834876    -0.528769    -0.049245
E_Scan -1.3405741480100E+03 -4.2854522326882E+02  Phi  -170.0
Coordinate
   -3.678862    -2.435815    -0.362215
   -5.905471    -2.695180     0.258827
   -0.881896     3.354757     0.029622
    1.032378     2.188665     0.031893
    5.289451    -1.514061    -0.098762
   -0.973297     0.987024    -0.048375
   -1.395268    -1.914397    -1.043874
   -2.704144    -1.468401    -0.464741
   -4.771859    -1.957074     0.102176
   -3.052063    -0.227803    -0.047759
   -2.304332     1.035938    -0.019573
   -2.979416     2.251332     0.032614
   -2.191433     3.385242     0.046181
   -0.324759     2.140206     0.000523
    2.039315     1.209424    -0.017861
    3.338496     1.621508     0.253829
    4.403273     0.744926     0.209633
    4.220496    -0.607684    -0.093593
    6.628557    -0.971718    -0.164356
    5.095655    -2.773815    -0.782966
    2.912282    -1.008351    -0.365380
    1.845435    -0.125587    -0.328036
   -4.741454    -0.263228     0.465971
   -0.930134    -1.132710    -1.624086
   -1.571808    -2.778371    -1.670938
   -0.712485    -2.203960    -0.251991
   -6.554259    -2.408160     0.957202
   -5.755856    -3.680135     0.211041
