E_Scan -1.3405774503200E+03 -4.3022483039740E+02  Phi  -180.0
Coordinate
   -3.041416    -2.529204    -0.250153
   -5.310669    -3.016926    -0.391657
   -0.971664     3.543805     0.137401
    1.039626     2.507210     0.167029
    4.995828    -1.506968     0.008910
   -0.848928     1.179065     0.064603
   -0.714180    -1.779295    -0.153364
   -2.181176    -1.458367    -0.162349
   -4.266382    -2.153424    -0.260322
   -2.766454    -0.235808    -0.085186
   -2.172811     1.098229     0.010078
   -2.961183     2.249239     0.029171
   -2.281972     3.447726     0.093280
   -0.311658     2.386268     0.123174
    2.007793     1.474895     0.123377
    2.076144     0.493822     1.099812
    3.053777    -0.480464     1.067663
    4.023977    -0.508199     0.056735
    5.235509    -2.286339     1.204225
    6.133064    -1.312711    -0.863237
    3.959802     0.500274    -0.909152
    2.961081     1.458081    -0.878372
   -4.517917    -0.442600    -0.162770
   -0.173356    -1.185824    -0.875449
   -0.590621    -2.831350    -0.371314
   -0.280841    -1.565776     0.815793
   -6.188771    -2.748792    -0.007216
   -5.066163    -3.972808    -0.246384
    1.358259     3.449524     0.153547
   -4.031569     2.224914    -0.011974
   -2.824258     4.378077     0.106172
    1.355663     0.492090     1.896044
    3.056849    -1.215114     1.847525
    6.023958    -2.998868     1.007561
    4.355060    -2.853583     1.478977
    5.530750    -1.676645     2.058460
    6.785237    -2.171291    -0.788295
    6.711583    -0.421210    -0.618910
    5.817669    -1.241066    -1.896601
    4.677090     0.546515    -1.703497
    2.930100     2.207795    -1.649572
E_Scan -1.3405770968500E+03 -4.2999678261235E+02  Phi  -170.0
Coordinate
   -3.059717    -2.535028    -0.174376
   -5.288771    -3.006562    -0.640075
   -0.969499     3.535130     0.150481
    1.041469     2.500202     0.159703
    5.009367    -1.500182    -0.047419
   -0.848315     1.170315     0.064280
   -0.761976    -1.799075     0.245423
   -2.203828    -1.469354    -0.013333
   -4.261391    -2.147895    -0.393953
   -2.770603    -0.239114    -0.094024
   -2.172788     1.092392     0.016101
   -2.960371     2.243302     0.049034
   -2.279953     3.441069     0.114976
   -0.309974     2.377136     0.127981
    2.013720     1.472308     0.105527
    2.095777     0.489734     1.078884
    3.075954    -0.481717     1.034464
    4.035134    -0.504417     0.013213
    5.264217    -2.281437     1.143507
    6.136738    -1.300411    -0.931080
    3.957633     0.506134    -0.949767
    2.956366     1.460494    -0.906515
   -4.493098    -0.431614    -0.426894
   -0.125335    -1.407453    -0.535924
   -0.657205    -2.874246     0.295778
   -0.424385    -1.360385     1.174659
   -6.210688    -2.709177    -0.411397
   -5.087218    -3.955933    -0.410719
    1.356867     3.443653     0.148118
   -4.031325     2.217831     0.026953
   -2.821073     4.371895     0.138510
    1.385649     0.485875     1.884246
    3.089533    -1.217817     1.812825
    6.052360    -2.991427     0.936692
    4.388343    -2.851632     1.426631
    5.567151    -1.672757     1.995781
    6.792181    -2.157239    -0.865131
    6.715200    -0.407801    -0.690689
    5.810225    -1.227227    -1.960867
    4.666176     0.556096    -1.751694
    2.914284     2.211234    -1.676153
E_Scan -1.3405767501500E+03 -4.2879006326152E+02  Phi  -160.0
Coordinate
   -3.076573    -2.537214    -0.095124
   -5.214809    -3.016551    -0.875035
   -0.966009     3.529035     0.167229
    1.046870     2.497555     0.156427
    5.017858    -1.496661    -0.106185
   -0.841686     1.164841     0.064278
   -0.860040    -1.790154     0.636062
   -2.238368    -1.469522     0.135984
   -4.222891    -2.153889    -0.519454
   -2.764927    -0.243696    -0.100124
   -2.165986     1.088024     0.021636
   -2.955642     2.236161     0.064989
   -2.276313     3.434843     0.136368
   -0.304332     2.372197     0.134106
    2.020968     1.471897     0.089980
    2.112955     0.484525     1.057204
    3.093598    -0.485828     0.998797
    4.043387    -0.502128    -0.031187
    5.284258    -2.284208     1.078036
    6.136893    -1.291143    -0.999073
    3.956397     0.513771    -0.987809
    2.954573     1.466617    -0.930507
   -4.418646    -0.439231    -0.681459
   -0.125380    -1.648410    -0.146797
   -0.839525    -2.822193     0.959698
   -0.579403    -1.144881     1.455702
   -6.155649    -2.698784    -0.808405
   -5.067391    -3.953188    -0.566068
    1.360383     3.441690     0.148659
   -4.026722     2.204765     0.055647
   -2.817757     4.365152     0.170277
    1.411478     0.476397     1.869883
    3.114927    -1.225893     1.773208
    6.070852    -2.992566     0.860031
    4.411400    -2.856498     1.366188
    5.594761    -1.679972     1.930759
    6.793511    -2.147835    -0.943910
    6.716937    -0.399449    -0.759068
    5.800839    -1.212509    -2.025376
    4.657601     0.568737    -1.795830
    2.904436     2.221095    -1.695977
E_Scan -1.3405762955200E+03 -4.2651904524918E+02  Phi  -150.0
Coordinate
   -3.089530    -2.536621    -0.019821
   -5.093967    -3.044530    -1.086528
   -0.961370     3.527406     0.186354
    1.055760     2.501380     0.156078
    5.019681    -1.495809    -0.164046
   -0.828953     1.164653     0.065183
   -0.997612    -1.759844     0.993305
   -2.280532    -1.460734     0.276511
   -4.153275    -2.170582    -0.630626
   -2.749750    -0.249304    -0.097807
   -2.152415     1.085526     0.032208
   -2.946950     2.228442     0.084628
   -2.271338     3.429954     0.160417
   -0.294925     2.373557     0.140962
    2.029068     1.475440     0.076129
    2.126698     0.480948     1.035379
    3.105314    -0.490340     0.962548
    4.047411    -0.500446    -0.074597
    5.293780    -2.292515     1.012226
    6.131420    -1.286677    -1.065083
    3.955124     0.522762    -1.022822
    2.955103     1.476528    -0.951088
   -4.299931    -0.463967    -0.908817
   -0.194128    -1.906942     0.280109
   -1.120946    -2.670057     1.566264
   -0.708760    -0.951063     1.646344
   -6.029251    -2.716618    -1.177562
   -5.008903    -3.963933    -0.709809
    1.368884     3.445671     0.151877
   -4.017874     2.187785     0.083897
   -2.815150     4.358454     0.203933
    1.431737     0.467626     1.853426
    3.131281    -1.236096     1.731342
    6.077983    -3.000052     0.783227
    4.422398    -2.866013     1.302491
    5.611178    -1.695018     1.867156
    6.786619    -2.145115    -1.021349
    6.715485    -0.397865    -0.824095
    5.786690    -1.200369    -2.087889
    4.650450     0.582733    -1.835549
    2.900326     2.236544    -1.710746
E_Scan -1.3405755590000E+03 -4.2356999440640E+02  Phi  -140.0
Coordinate
   -3.105984    -2.533404     0.052129
   -4.943650    -3.085787    -1.265224
   -0.954475     3.526661     0.205018
    1.066932     2.505521     0.155634
    5.021048    -1.496567    -0.220320
   -0.813880     1.165758     0.064111
   -1.169153    -1.711167     1.309116
   -2.333716    -1.445403     0.404202
   -4.065676    -2.194944    -0.722707
   -2.732411    -0.255257    -0.090016
   -2.136283     1.083530     0.046261
   -2.935738     2.220728     0.109226
   -2.264061     3.425492     0.186811
   -0.283187     2.376115     0.145990
    2.037882     1.477986     0.061271
    2.138105     0.474664     1.011174
    3.114231    -0.497661     0.924634
    4.051242    -0.500198    -0.117267
    5.299448    -2.304381     0.947295
    6.128054    -1.282396    -1.125904
    3.956454     0.531628    -1.055693
    2.958657     1.486721    -0.970358
   -4.150243    -0.502304    -1.105432
   -0.339651    -2.111557     0.735632
   -1.455861    -2.450510     2.047543
   -0.831638    -0.813371     1.802178
   -5.851573    -2.756285    -1.505360
   -4.927209    -3.984248    -0.832871
    1.380887     3.449540     0.156091
   -4.006345     2.170820     0.115945
   -2.810404     4.351982     0.239806
    1.446585     0.454260     1.831954
    3.142254    -1.250722     1.686194
    6.081315    -3.011130     0.708095
    4.428499    -2.879021     1.236614
    5.622039    -1.715210     1.806057
    6.781512    -2.142654    -1.093193
    6.715579    -0.396976    -0.880817
    5.777634    -1.186645    -2.145938
    4.647863     0.597574    -1.871291
    2.901748     2.253716    -1.722831
E_Scan -1.3405744546600E+03 -4.2040501002136E+02  Phi  -130.0
Coordinate
   -3.133850    -2.525455     0.125789
   -4.774149    -3.140349    -1.408193
   -0.943245     3.523120     0.225414
    1.080216     2.503762     0.156207
    5.027238    -1.499380    -0.277829
   -0.799381     1.164228     0.060704
   -1.377867    -1.637428     1.591740
   -2.404276    -1.421496     0.522186
   -3.968783    -2.226156    -0.794420
   -2.717830    -0.260646    -0.082793
   -2.120723     1.081446     0.058859
   -2.922628     2.214386     0.134407
   -2.252645     3.420892     0.215362
   -0.269560     2.374945     0.150196
    2.047952     1.474360     0.045596
    2.148797     0.459522     0.983340
    3.123552    -0.512523     0.882784
    4.058652    -0.503304    -0.160859
    5.306920    -2.321627     0.879349
    6.132994    -1.274985    -1.182429
    3.963144     0.539726    -1.086575
    2.966570     1.494870    -0.987564
   -3.976623    -0.555034    -1.276807
   -0.545145    -2.205635     1.190455
   -1.815399    -2.214207     2.398915
   -0.998064    -0.704216     1.978031
   -5.634157    -2.817641    -1.791367
   -4.833722    -4.012512    -0.928394
    1.396173     3.447092     0.161768
   -3.992919     2.157986     0.146917
   -2.799519     4.346355     0.279127
    1.457418     0.428201     1.803950
    3.151674    -1.275468     1.634413
    6.087224    -3.026586     0.629949
    4.435749    -2.898452     1.163522
    5.632215    -1.743357     1.744499
    6.785829    -2.136083    -1.161323
    6.721620    -0.393088    -0.927418
    5.781076    -1.166431    -2.200668
    4.652967     0.614812    -1.902725
    2.909332     2.271258    -1.730353
E_Scan -1.3405731034100E+03 -4.1705237228668E+02  Phi  -120.0
Coordinate
   -3.181031    -2.513104     0.200961
   -4.590705    -3.209009    -1.517912
   -0.927782     3.514224     0.252760
    1.096794     2.496226     0.162062
    5.042514    -1.500196    -0.338555
   -0.782620     1.157956     0.057657
   -1.636156    -1.541368     1.846970
   -2.497563    -1.390566     0.630864
   -3.866286    -2.265627    -0.848016
   -2.701819    -0.269495    -0.080776
   -2.103161     1.075715     0.067253
   -2.906139     2.204805     0.158302
   -2.236825     3.412113     0.248716
   -0.252697     2.368094     0.158068
    2.062234     1.466480     0.032662
    2.163788     0.437169     0.954644
    3.138759    -0.532605     0.838001
    4.073535    -0.506514    -0.205745
    5.323020    -2.340399     0.805431
    6.147364    -1.261766    -1.240568
    3.977110     0.550631    -1.115070
    2.980196     1.503761    -1.000426
   -3.774456    -0.626382    -1.427389
   -0.819794    -2.223266     1.633615
   -2.218825    -1.967714     2.656525
   -1.220787    -0.596240     2.164237
   -5.379455    -2.901071    -2.041070
   -4.739019    -4.047053    -0.998166
    1.414354     3.438891     0.177856
   -3.976147     2.144041     0.173425
   -2.783598     4.336588     0.326007
    1.470920     0.390800     1.773394
    3.166778    -1.308095     1.576640
    6.103948    -3.040609     0.544831
    4.452390    -2.922403     1.080525
    5.647926    -1.775579     1.679570
    6.800429    -2.122925    -1.233197
    6.736045    -0.383708    -0.972693
    5.794503    -1.137763    -2.256723
    4.666459     0.638829    -1.930309
    2.922630     2.292035    -1.730599
E_Scan -1.3405717848600E+03 -4.1380559558455E+02  Phi  -110.0
Coordinate
   -3.253268    -2.494196     0.276064
   -4.399987    -3.290904    -1.589352
   -0.906790     3.498535     0.289606
    1.119218     2.484117     0.175076
    5.067567    -1.498714    -0.403717
   -0.759341     1.146031     0.057463
   -1.951654    -1.421276     2.068753
   -2.615802    -1.351751     0.727836
   -3.761728    -2.313145    -0.880577
   -2.677956    -0.284959    -0.082860
   -2.079171     1.063581     0.072293
   -2.883542     2.188202     0.182672
   -2.215400     3.395782     0.289468
   -0.229951     2.355368     0.172185
    2.083791     1.456214     0.024136
    2.187031     0.410078     0.926960
    3.163069    -0.555981     0.791361
    4.097419    -0.509002    -0.252115
    5.349661    -2.359855     0.724189
    6.170640    -1.243310    -1.303131
    3.999166     0.564669    -1.141582
    3.001069     1.514217    -1.008479
   -3.539200    -0.720282    -1.550832
   -1.170095    -2.173290     2.050853
   -2.673184    -1.715666     2.823674
   -1.513106    -0.473686     2.348531
   -5.090426    -3.007082    -2.247751
   -4.652749    -4.084586    -1.041014
    1.437189     3.426280     0.205313
   -3.953267     2.123682     0.197584
   -2.762561     4.318456     0.383596
    1.492864     0.345914     1.743476
    3.191794    -1.345851     1.514539
    6.132264    -3.053215     0.450628
    4.480254    -2.948874     0.988036
    5.673111    -1.810926     1.608913
    6.824564    -2.103801    -1.312106
    6.758969    -0.369549    -1.020773
    5.815953    -1.101627    -2.316360
    4.688005     0.669038    -1.955348
    2.942410     2.316263    -1.723448
E_Scan -1.3405708515900E+03 -4.1120266918620E+02  Phi  -100.0
Coordinate
   -3.356200    -2.466647     0.346010
   -4.214904    -3.382317    -1.617641
   -0.880198     3.473695     0.336287
    1.148639     2.467032     0.194745
    5.104682    -1.493950    -0.473078
   -0.727035     1.126234     0.063968
   -2.326418    -1.278074     2.242981
   -2.760017    -1.305358     0.809141
   -3.662762    -2.366990    -0.888401
   -2.642883    -0.310697    -0.080876
   -2.046362     1.041297     0.079556
   -2.853554     2.159923     0.212891
   -2.188091     3.367943     0.340101
   -0.200065     2.334938     0.194029
    2.114399     1.443813     0.020094
    2.222397     0.380355     0.901991
    3.200517    -0.580216     0.744743
    4.132379    -0.509976    -0.299701
    5.391538    -2.376652     0.636833
    6.204772    -1.218198    -1.370066
    4.029299     0.580794    -1.167519
    3.029055     1.524911    -1.013208
   -3.273534    -0.838981    -1.631833
   -1.597101    -2.061182     2.420379
   -3.175074    -1.467893     2.891874
   -1.885326    -0.327290     2.510337
   -4.777699    -3.133258    -2.400012
   -4.587822    -4.119776    -1.059391
    1.464991     3.409030     0.241955
   -3.922924     2.091140     0.226299
   -2.737129     4.287323     0.453528
    1.529081     0.297185     1.717504
    3.232509    -1.384612     1.451552
    6.175443    -3.062244     0.347837
    4.524297    -2.973169     0.890730
    5.715427    -1.844559     1.531618
    6.860786    -2.076707    -1.397610
    6.791717    -0.348682    -1.072120
    5.847128    -1.057503    -2.379424
    4.716013     0.703157    -1.980579
    2.966858     2.341059    -1.711762
E_Scan -1.3405711994200E+03 -4.1049778879674E+02  Phi  -80.0
Coordinate
   -3.856240    -2.214885     0.431320
   -3.995090    -3.563938    -1.463650
   -0.975886     3.530150     0.146412
    1.049108     2.505911     0.183733
    5.002289    -1.508959    -0.014130
   -0.828107     1.169912     0.034040
   -3.520831    -0.617747     2.275596
   -3.348621    -0.990576     0.834068
   -3.641669    -2.416518    -0.810324
   -2.744728    -0.264419    -0.117060
   -2.146449     1.093450    -0.036002
   -2.950127     2.221642    -0.020832
   -2.282040     3.431773     0.078076
   -0.298163     2.380947     0.111986
    2.013783     1.468330     0.126779
    2.060378     0.458877     1.075101
    3.037691    -0.514368     1.032860
    4.029975    -0.511193     0.043160
    5.215368    -2.325628     1.161117
    6.157442    -1.290155    -0.855963
    3.987608     0.526377    -0.892328
    2.988247     1.483196    -0.853543
   -2.793373    -1.139062    -1.637899
   -3.105940     0.357698     2.491578
   -3.030455    -1.352211     2.905651
   -4.574106    -0.616263     2.536091
   -4.168602    -3.500003    -2.441843
   -4.654838    -4.121064    -0.964672
    1.370718     3.447211     0.196225
   -4.018049     2.159933    -0.082035
   -2.828791     4.359202     0.102556
    1.318840     0.427293     1.850776
    3.020670    -1.275560     1.786439
    6.007697    -3.032508     0.959505
    4.328882    -2.900073     1.398642
    5.492197    -1.743222     2.040245
    6.807224    -2.151590    -0.793629
    6.731739    -0.407332    -0.572847
    5.863696    -1.186609    -1.893037
    4.722017     0.596582    -1.669085
    2.974496     2.256886    -1.601345
E_Scan -1.3405724000900E+03 -4.1224829441662E+02  Phi  -70.0
Coordinate
   -3.947206    -2.175360     0.432117
   -3.816560    -3.641394    -1.373534
   -0.950636     3.513901     0.214358
    1.075861     2.492138     0.214383
    5.031870    -1.514781    -0.070423
   -0.801496     1.154870     0.084347
   -3.876716    -0.473421     2.205464
   -3.483865    -0.934502     0.834062
   -3.542635    -2.459259    -0.745332
   -2.713550    -0.281176    -0.049724
   -2.120860     1.076052     0.027400
   -2.925564     2.203890     0.059192
   -2.257447     3.413497     0.161010
   -0.272102     2.365761     0.161408
    2.040939     1.456393     0.135563
    2.102709     0.439929     1.075561
    3.080851    -0.531309     1.011890
    4.058866    -0.519015     0.008156
    5.262733    -2.339664     1.095708
    6.175104    -1.287261    -0.926110
    4.001475     0.525442    -0.918792
    3.001251     1.480300    -0.858434
   -2.540744    -1.252741    -1.501609
   -3.457889     0.495022     2.442400
   -3.534983    -1.191879     2.942857
   -4.957583    -0.416878     2.283646
   -3.829536    -3.640144    -2.368972
   -4.560841    -4.155042    -0.953031
    1.396342     3.433783     0.229400
   -3.993680     2.142939     0.001952
   -2.805349     4.339857     0.198106
    1.372322     0.401199     1.861394
    3.075820    -1.298176     1.759875
    6.053143    -3.043846     0.877749
    4.380493    -2.917145     1.341525
    5.551120    -1.763269     1.975077
    6.827257    -2.147892    -0.879236
    6.751575    -0.405530    -0.644010
    5.867174    -1.176308    -1.958294
    4.724625     0.602823    -1.705370
    2.975675     2.259686    -1.599997
E_Scan -1.3405739321900E+03 -4.1459433657272E+02  Phi  -60.0
Coordinate
   -4.003788    -2.144401     0.420891
   -3.623633    -3.710027    -1.260379
   -0.927411     3.508793     0.283272
    1.097431     2.484597     0.245814
    5.043665    -1.525183    -0.123196
   -0.783071     1.150562     0.138723
   -4.180654    -0.354829     2.091461
   -3.593086    -0.885139     0.817737
   -3.430683    -2.495383    -0.666375
   -2.690060    -0.284425     0.023527
   -2.103739     1.071358     0.099336
   -2.906322     2.201464     0.145097
   -2.235151     3.408833     0.245786
   -0.251371     2.360206     0.213125
    2.059701     1.448155     0.145982
    2.134703     0.426155     1.079061
    3.110552    -0.545813     0.994649
    4.073058    -0.528776    -0.023901
    5.291355    -2.356986     1.034551
    6.174401    -1.293161    -0.994146
    4.002681     0.521054    -0.943799
    3.004651     1.476715    -0.862506
   -2.310526    -1.340463    -1.327166
   -3.754329     0.598513     2.370598
   -4.005151    -1.065190     2.891946
   -5.255244    -0.242028     1.988139
   -3.486449    -3.767498    -2.244720
   -4.428315    -4.196026    -0.927425
    1.419241     3.425781     0.260840
   -3.974787     2.145048     0.092213
   -2.781932     4.335417     0.293091
    1.416408     0.383715     1.875758
    3.116091    -1.316965     1.738210
    6.077648    -3.060648     0.800571
    4.412344    -2.935024     1.290415
    5.593637    -1.785963     1.912753
    6.826471    -2.154549    -0.962239
    6.755680    -0.413628    -0.715074
    5.851445    -1.175510    -2.020989
    4.713807     0.602250    -1.740900
    2.968690     2.260489    -1.599004
E_Scan -1.3405755108400E+03 -4.1702339939756E+02  Phi  -50.0
Coordinate
   -4.032635    -2.121390     0.402417
   -3.423111    -3.769430    -1.123859
   -0.906053     3.512037     0.353784
    1.114619     2.481764     0.278675
    5.041476    -1.538579    -0.174182
   -0.771187     1.154568     0.194155
   -4.439382    -0.259717     1.942439
   -3.679888    -0.843054     0.787852
   -3.310791    -2.525163    -0.573980
   -2.672250    -0.277521     0.096366
   -2.093145     1.076594     0.174754
   -2.891308     2.210766     0.233426
   -2.214805     3.414513     0.331588
   -0.234984     2.361919     0.266798
    2.071691     1.442841     0.158036
    2.158150     0.415573     1.084370
    3.129351    -0.559065     0.979269
    4.075658    -0.539617    -0.054287
    5.304631    -2.377148     0.975256
    6.159607    -1.304744    -1.060789
    3.994107     0.515283    -0.967401
    3.000612     1.473705    -0.865191
