E_Scan -1.3405778857600E+03 -4.2771280421965E+02  Phi  -180.0
Coordinate
   -3.009660    -2.511042    -0.392670
   -5.222471    -3.079634     0.044756
   -0.975416     3.563100     0.121546
    1.042771     2.530510     0.161278
    4.998999    -1.497323     0.065940
   -0.838000     1.200596     0.040463
   -0.759870    -1.675980    -0.862784
   -2.176247    -1.414921    -0.440455
   -4.195986    -2.187595    -0.035686
   -2.741018    -0.230665    -0.101105
   -2.159511     1.112079    -0.026312
   -2.956158     2.256145    -0.018451
   -2.284825     3.459361     0.060786
   -0.307987     2.410599     0.101269
    2.001022     1.488941     0.114781
    2.045047     0.495072     1.085372
    3.012995    -0.484036     1.052609
    3.998993    -0.506599     0.056487
    5.979454    -1.451992    -0.995984
    4.570232    -2.853111     0.363283
    3.950916     0.499040    -0.904861
    2.963960     1.475406    -0.872762
   -4.441239    -0.500988     0.283693
   -0.328655    -0.833567    -1.378866
   -0.745402    -2.552747    -1.497522
   -0.140749    -1.873660     0.005875
   -5.963937    -2.878700     0.677880
   -4.929531    -4.032988     0.037937
    1.368297     3.470346     0.144141
   -4.024802     2.220932    -0.089832
   -2.832501     4.386485     0.070795
    1.313427     0.492551     1.871021
    3.019473    -1.217002     1.835222
    6.741733    -2.194010    -0.797403
    6.465466    -0.485521    -1.020000
    5.558434    -1.653724    -1.982911
    5.444021    -3.488221     0.430268
    3.906757    -3.259697    -0.401385
    4.064529    -2.907447     1.314978
    4.665849     0.533860    -1.702084
    2.946267     2.229269    -1.640291
E_Scan -1.3405785394600E+03 -4.2791942962632E+02  Phi  -170.0
Coordinate
   -3.022982    -2.517087    -0.332676
   -5.235342    -3.072610     0.123151
   -0.971335     3.559299     0.076490
    1.044548     2.522702     0.125222
    4.980815    -1.521025     0.098423
   -0.839872     1.195589     0.031763
   -0.773147    -1.695938    -0.825530
   -2.186995    -1.424185    -0.401567
   -4.206970    -2.184787     0.024115
   -2.747191    -0.233055    -0.078942
   -2.161969     1.109091    -0.028006
   -2.955699     2.255210    -0.035028
   -2.281310     3.457890     0.022339
   -0.307083     2.405066     0.071524
    1.999858     1.478321     0.091389
    2.041612     0.499642     1.080067
    3.011825    -0.476083     1.061587
    3.991574    -0.513257     0.061587
    6.088697    -1.383887    -0.819633
    4.487437    -2.887754     0.138065
    3.950388     0.475323    -0.912599
    2.963491     1.454512    -0.894667
   -4.446463    -0.492606     0.317340
   -0.341305    -0.862703    -1.355769
   -0.763821    -2.582129    -1.447121
   -0.151503    -1.882733     0.043763
   -5.973706    -2.859716     0.755989
   -4.945086    -4.026787     0.129904
    1.372586     3.460884     0.083415
   -4.024703     2.221497    -0.101495
   -2.826697     4.386386     0.019840
    1.311869     0.513964     1.867200
    3.037622    -1.198109     1.855983
    6.843003    -2.118475    -0.565440
    6.536403    -0.403269    -0.723571
    5.809007    -1.538475    -1.863969
    5.308176    -3.552910     0.378414
    4.058939    -3.201260    -0.815782
    3.733390    -3.007991     0.900622
    4.670406     0.494754    -1.706921
    2.946214     2.199819    -1.670457
E_Scan -1.3405788267700E+03 -4.2823050342918E+02  Phi  -160.0
Coordinate
   -3.045621    -2.517940    -0.284420
   -5.258026    -3.057937     0.189296
   -0.965388     3.553773     0.040537
    1.046260     2.509279     0.092579
    4.961933    -1.548946     0.107099
   -0.844402     1.189255     0.023222
   -0.794680    -1.713069    -0.798247
   -2.205254    -1.429775    -0.370968
   -4.226360    -2.176007     0.074169
   -2.758613    -0.232204    -0.060451
   -2.167234     1.107731    -0.028842
   -2.955896     2.257260    -0.045797
   -2.276115     3.457558    -0.006288
   -0.306451     2.396704     0.045995
    1.997007     1.460818     0.066693
    2.037099     0.494233     1.067847
    3.007983    -0.481499     1.057845
    3.979628    -0.530715     0.053339
    6.175198    -1.327648    -0.645973
    4.456717    -2.900948    -0.056386
    3.942592     0.444881    -0.931540
    2.958332     1.427033    -0.922453
   -4.456981    -0.479268     0.347508
   -0.362126    -0.888870    -1.341887
   -0.792033    -2.607590    -1.407822
   -0.169588    -1.890615     0.070520
   -5.992347    -2.834050     0.823044
   -4.971988    -4.013266     0.206178
    1.378140     3.444949     0.029818
   -4.025352     2.227458    -0.106577
   -2.817436     4.388347    -0.017340
    1.309386     0.521457     1.856423
    3.043146    -1.201543     1.854841
    6.913977    -2.058698    -0.338771
    6.570373    -0.342770    -0.432986
    6.043459    -1.423182    -1.726149
    5.227806    -3.607084     0.229502
    4.161567    -3.113109    -1.086158
    3.599549    -3.067611     0.579763
    4.666413     0.450846    -1.723815
    2.940008     2.165881    -1.704326
E_Scan -1.3405786346600E+03 -4.2814498957021E+02  Phi  -150.0
Coordinate
   -3.070384    -2.517529    -0.232933
   -5.283329    -3.039535     0.257716
   -0.958475     3.547443     0.000175
